user_id,account_id,intervention_id,login_days_30d,login_days_l7,core_actions_30d,collab_actions_30d,time_spent_30d,feature_diversity_avg_30d,days_observed_30d,days_since_last_active,momentum_ratio,collab_intensity_ratio,log_login_days_30d,log_login_days_l7,log_core_actions_30d,log_time_spent_30d,log_collab_actions_30d,treatment_flag,collab_activated_flag,outcome_observed_flag,role_type_basic,role_type_power_user,plan_tier_growth,plan_tier_starter,account_size_bucket_mid,account_size_bucket_small
user_0000004,acct_00000,intv_0000000,7.0,1,38.0,4,187.0,1.1428571428571428,7,3,0.125,0.5,2.0794415416798357,0.6931471805599453,3.6635616461296463,5.236441962829949,1.6094379124341003,0,0.0,1,True,False,False,True,True,False
user_0000005,acct_00001,intv_0000001,7.0,1,31.0,5,171.0,1.1428571428571428,7,1,0.125,0.625,2.0794415416798357,0.6931471805599453,3.4657359027997265,5.147494476813453,1.791759469228055,0,0.0,1,True,False,False,False,False,False
user_0000007,acct_00001,intv_0000002,27.0,5,1683.0,0,6163.0,1.1111111111111112,27,3,0.17857142857142858,0.0,3.332204510175204,1.791759469228055,7.428927194802272,8.726481196440007,0.0,0,1.0,1,True,False,False,False,False,False
user_0000008,acct_00001,intv_0000003,9.0,3,41.0,4,240.0,1.0,9,2,0.3,0.4,2.302585092994046,1.3862943611198906,3.7376696182833684,5.484796933490655,1.6094379124341003,0,0.0,1,True,False,False,False,False,False
user_0000011,acct_00001,intv_0000004,10.0,3,52.0,4,289.0,1.0,10,3,0.2727272727272727,0.36363636363636365,2.3978952727983707,1.3862943611198906,3.970291913552122,5.66988092298052,1.6094379124341003,0,0.0,1,True,False,False,False,False,False
user_0000012,acct_00002,intv_0000005,12.0,4,52.0,3,314.0,1.0833333333333333,12,3,0.3076923076923077,0.23076923076923078,2.5649493574615367,1.6094379124341003,3.970291913552122,5.752572638825633,1.3862943611198906,1,1.0,1,True,False,True,False,True,False
user_0000014,acct_00002,intv_0000006,9.0,2,48.0,2,272.0,1.1111111111111112,9,3,0.2,0.2,2.302585092994046,1.0986122886681098,3.8918202981106265,5.60947179518496,1.0986122886681098,1,0.0,1,True,False,True,False,True,False
user_0000016,acct_00002,intv_0000007,13.0,3,61.0,5,382.0,1.0,13,1,0.21428571428571427,0.35714285714285715,2.6390573296152584,1.3862943611198906,4.127134385045092,5.948034989180646,1.791759469228055,1,1.0,1,True,False,True,False,True,False
user_0000018,acct_00002,intv_0000008,7.0,1,28.0,1,159.0,1.0,7,2,0.125,0.125,2.0794415416798357,0.6931471805599453,3.367295829986474,5.075173815233827,0.6931471805599453,0,,0,True,False,True,False,True,False
user_0000020,acct_00002,intv_0000009,13.0,3,69.0,2,389.0,1.0,13,2,0.21428571428571427,0.14285714285714285,2.6390573296152584,1.3862943611198906,4.248495242049359,5.966146739123692,1.0986122886681098,1,1.0,1,True,False,True,False,True,False
user_0000021,acct_00002,intv_0000010,13.0,7,65.0,7,412.0,1.1538461538461535,13,1,0.5,0.5,2.6390573296152584,2.0794415416798357,4.189654742026425,6.023447592961033,2.0794415416798357,1,0.0,1,True,False,True,False,True,False
user_0000023,acct_00003,intv_0000011,12.0,5,70.0,3,423.0,1.1666666666666667,12,2,0.38461538461538464,0.23076923076923078,2.5649493574615367,1.791759469228055,4.2626798770413155,6.049733455231958,1.3862943611198906,1,1.0,1,True,False,True,False,True,False
user_0000029,acct_00003,intv_0000012,11.0,3,46.0,2,271.0,1.0,11,3,0.25,0.16666666666666666,2.4849066497880004,1.3862943611198906,3.8501476017100584,5.605802066295998,1.0986122886681098,1,0.0,1,True,False,True,False,True,False
user_0000034,acct_00003,intv_0000013,8.0,1,47.0,1,268.0,1.0,8,2,0.1111111111111111,0.1111111111111111,2.1972245773362196,0.6931471805599453,3.871201010907891,5.594711379601839,0.6931471805599453,0,0.0,1,True,False,True,False,True,False
user_0000035,acct_00003,intv_0000014,26.0,5,1604.0,0,6266.0,1.1923076923076923,26,3,0.18518518518518517,0.0,3.295836866004329,1.791759469228055,7.380879035564116,8.743053050224676,0.0,0,0.0,1,True,False,True,False,True,False
user_0000039,acct_00005,intv_0000015,11.0,3,58.0,4,318.0,1.0909090909090908,11,1,0.25,0.3333333333333333,2.4849066497880004,1.3862943611198906,4.07753744390572,5.765191102784844,1.6094379124341003,0,0.0,1,True,False,False,True,False,True
user_0000041,acct_00005,intv_0000016,10.0,4,54.0,5,311.0,1.0,10,1,0.36363636363636365,0.45454545454545453,2.3978952727983707,1.6094379124341003,4.007333185232471,5.7430031878094825,1.791759469228055,0,0.0,1,True,False,False,True,False,True
user_0000042,acct_00005,intv_0000017,7.0,2,33.0,0,193.0,1.0,7,3,0.25,0.0,2.0794415416798357,1.0986122886681098,3.5263605246161616,5.267858159063328,0.0,0,0.0,1,True,False,False,True,False,True
user_0000046,acct_00005,intv_0000018,7.0,2,33.0,4,229.0,1.1428571428571428,7,3,0.25,0.5,2.0794415416798357,1.0986122886681098,3.5263605246161616,5.438079308923196,1.6094379124341003,0,0.0,1,True,False,False,True,False,True
user_0000047,acct_00005,intv_0000019,28.0,6,1685.0,0,6442.0,1.0714285714285714,28,2,0.20689655172413793,0.0,3.367295829986474,1.9459101490553132,7.430114138561801,8.770749549138642,0.0,0,,0,True,False,False,True,False,True
user_0000048,acct_00005,intv_0000020,10.0,3,48.0,2,287.0,1.0,10,1,0.2727272727272727,0.18181818181818182,2.3978952727983707,1.3862943611198906,3.8918202981106265,5.662960480135946,1.0986122886681098,0,0.0,1,True,False,False,True,False,True
user_0000050,acct_00005,intv_0000021,14.0,4,63.0,3,339.0,1.0714285714285714,14,2,0.26666666666666666,0.2,2.70805020110221,1.6094379124341003,4.1588830833596715,5.8289456176102075,1.3862943611198906,0,0.0,1,True,False,False,True,False,True
user_0000053,acct_00005,intv_0000022,28.0,5,1745.0,0,7099.0,1.1785714285714286,28,2,0.1724137931034483,0.0,3.367295829986474,1.791759469228055,7.465082736399547,8.867850063029406,0.0,0,0.0,1,False,False,False,True,False,True
user_0000054,acct_00005,intv_0000023,9.0,1,40.0,3,232.0,1.1111111111111112,9,1,0.1,0.3,2.302585092994046,0.6931471805599453,3.713572066704308,5.4510384535657,1.3862943611198906,0,0.0,1,True,False,False,True,False,True
user_0000060,acct_00005,intv_0000024,12.0,3,54.0,5,345.0,1.0,12,3,0.23076923076923078,0.38461538461538464,2.5649493574615367,1.3862943611198906,4.007333185232471,5.846438775057725,1.791759469228055,1,0.0,1,True,False,False,True,False,True
user_0000061,acct_00005,intv_0000025,8.0,2,47.0,4,272.0,1.125,8,2,0.2222222222222222,0.4444444444444444,2.1972245773362196,1.0986122886681098,3.871201010907891,5.60947179518496,1.6094379124341003,1,1.0,1,True,False,False,True,False,True
user_0000063,acct_00006,intv_0000026,10.0,1,42.0,1,251.0,1.1,10,2,0.09090909090909091,0.09090909090909091,2.3978952727983707,0.6931471805599453,3.7612001156935624,5.529429087511423,0.6931471805599453,0,1.0,1,True,False,False,True,True,False
