user_id,account_id,intervention_id,treatment_flag,outcome_observed_flag,collab_activated_flag,login_days_l7,login_days_30d,core_actions_30d,collab_actions_30d,time_spent_30d,feature_diversity_avg_30d,days_observed_30d,days_since_last_active,plan_tier,role_type
user_0000004,acct_00000,intv_0000000,0,1,0.0,1,7.0,38.0,4,187.0,1.1428571428571428,7,3,starter,basic
user_0000005,acct_00001,intv_0000001,0,1,0.0,1,7.0,31.0,5,171.0,1.1428571428571428,7,1,enterprise,basic
user_0000007,acct_00001,intv_0000002,0,1,1.0,5,27.0,1683.0,0,6163.0,1.1111111111111112,27,3,enterprise,basic
user_0000008,acct_00001,intv_0000003,0,1,0.0,3,9.0,41.0,4,240.0,1.0,9,2,enterprise,basic
user_0000011,acct_00001,intv_0000004,0,1,0.0,3,10.0,52.0,4,289.0,1.0,10,3,enterprise,basic
user_0000012,acct_00002,intv_0000005,1,1,1.0,4,12.0,52.0,3,314.0,1.0833333333333333,12,3,growth,basic
user_0000014,acct_00002,intv_0000006,1,1,0.0,2,9.0,48.0,2,272.0,1.1111111111111112,9,3,growth,basic
user_0000016,acct_00002,intv_0000007,1,1,1.0,3,13.0,61.0,5,382.0,1.0,13,1,growth,basic
user_0000018,acct_00002,intv_0000008,0,0,,1,7.0,28.0,1,159.0,1.0,7,2,growth,basic
user_0000020,acct_00002,intv_0000009,1,1,1.0,3,13.0,69.0,2,389.0,1.0,13,2,growth,basic
user_0000021,acct_00002,intv_0000010,1,1,0.0,7,13.0,65.0,7,412.0,1.1538461538461537,13,1,growth,basic
user_0000023,acct_00003,intv_0000011,1,1,1.0,5,12.0,70.0,3,423.0,1.1666666666666667,12,2,growth,basic
user_0000029,acct_00003,intv_0000012,1,1,0.0,3,11.0,46.0,2,271.0,1.0,11,3,growth,basic
user_0000034,acct_00003,intv_0000013,0,1,0.0,1,8.0,47.0,1,268.0,1.0,8,2,growth,basic
user_0000035,acct_00003,intv_0000014,0,1,0.0,5,26.0,1604.0,0,6266.0,1.1923076923076923,26,3,growth,basic
user_0000039,acct_00005,intv_0000015,0,1,0.0,3,11.0,58.0,4,318.0,1.0909090909090908,11,1,starter,basic
user_0000041,acct_00005,intv_0000016,0,1,0.0,4,10.0,54.0,5,311.0,1.0,10,1,starter,basic
user_0000042,acct_00005,intv_0000017,0,1,0.0,2,7.0,33.0,0,193.0,1.0,7,3,starter,basic
user_0000046,acct_00005,intv_0000018,0,1,0.0,2,7.0,33.0,4,229.0,1.1428571428571428,7,3,starter,basic
user_0000047,acct_00005,intv_0000019,0,0,,6,28.0,1685.0,0,6442.0,1.0714285714285714,28,2,starter,basic
user_0000048,acct_00005,intv_0000020,0,1,0.0,3,10.0,48.0,2,287.0,1.0,10,1,starter,basic
user_0000050,acct_00005,intv_0000021,0,1,0.0,4,14.0,63.0,3,339.0,1.0714285714285714,14,2,starter,basic
user_0000053,acct_00005,intv_0000022,0,1,0.0,5,28.0,1745.0,0,7099.0,1.1785714285714286,28,2,starter,admin
user_0000054,acct_00005,intv_0000023,0,1,0.0,1,9.0,40.0,3,232.0,1.1111111111111112,9,1,starter,basic
user_0000060,acct_00005,intv_0000024,1,1,0.0,3,12.0,54.0,5,345.0,1.0,12,3,starter,basic
user_0000061,acct_00005,intv_0000025,1,1,1.0,2,8.0,47.0,4,272.0,1.125,8,2,starter,basic
