account_id,account_created_date,plan_tier,industry,seat_count,cs_assigned_flag,account_health_score
acct_00000,2023-03-11,starter,Education,17,0,0.5493277358712896
acct_00001,2023-06-15,enterprise,Retail,288,1,0.505886889836044
acct_00002,2023-08-02,growth,Manufacturing,18,1,0.7843284825300839
acct_00003,2023-12-01,growth,SaaS,49,0,0.6691617048444652
acct_00004,2024-01-04,starter,Healthcare,11,0,0.6375942348154953
acct_00005,2023-02-18,starter,Education,10,0,0.7212856510335175
acct_00006,2023-02-21,starter,Manufacturing,15,0,0.56034662501948
acct_00007,2023-10-16,enterprise,Healthcare,130,1,0.4838694272470649
acct_00008,2023-08-27,growth,SaaS,33,0,0.5096063543078164
acct_00009,2023-05-13,growth,Logistics,73,0,0.6002674561656913
acct_00010,2023-06-15,starter,Education,17,0,0.4411182437440647
acct_00011,2024-01-09,enterprise,FinTech,287,1,0.5249608475119987
acct_00012,2024-01-08,growth,FinTech,75,1,0.5225825037192848
acct_00013,2024-04-22,starter,Healthcare,18,0,0.918683434474352
acct_00014,2024-04-23,starter,Healthcare,13,0,0.18392775900991248
acct_00015,2023-10-27,starter,Healthcare,5,0,0.573057041789155
acct_00016,2023-03-23,starter,Education,12,0,0.8588540689222155
acct_00017,2023-03-28,starter,SaaS,12,0,0.618276669619868
acct_00018,2023-08-13,starter,Logistics,18,0,0.7130126210131639
acct_00019,2023-01-16,starter,FinTech,14,0,0.6149739472649651
acct_00020,2023-12-24,growth,Manufacturing,55,0,0.49989999281752795
acct_00021,2023-06-12,starter,Retail,17,0,0.263712609823663
acct_00022,2024-05-28,starter,Education,5,0,0.6308183530554454
acct_00023,2023-12-16,starter,Education,10,0,0.48365900930964134
acct_00024,2024-04-08,starter,SaaS,19,0,0.4799496890752044
acct_00025,2024-01-10,growth,FinTech,44,0,0.5251519116031332
acct_00026,2023-04-02,starter,Logistics,3,0,0.861729210993524
acct_00027,2023-06-30,starter,SaaS,6,0,0.95
acct_00028,2023-10-28,growth,Manufacturing,39,1,0.6325811906292601
acct_00029,2023-07-08,starter,FinTech,13,0,0.5302849164132408
