intervention_id,user_id,account_id,intervention_date,eligibility_flag,treatment_flag,delivery_channel
intv_0000000,user_0000004,acct_00000,2023-04-21,1,0,email
intv_0000001,user_0000005,acct_00001,2023-08-08,1,0,email
intv_0000002,user_0000007,acct_00001,2023-08-07,1,0,email
intv_0000003,user_0000008,acct_00001,2023-07-20,1,0,in_app
intv_0000004,user_0000011,acct_00001,2023-07-22,1,0,email
intv_0000005,user_0000012,acct_00002,2023-09-20,1,1,in_app
intv_0000006,user_0000014,acct_00002,2023-09-28,1,1,email
intv_0000007,user_0000016,acct_00002,2023-09-20,1,1,email
intv_0000008,user_0000018,acct_00002,2023-09-28,1,0,in_app
intv_0000009,user_0000020,acct_00002,2023-09-14,1,1,in_app
intv_0000010,user_0000021,acct_00002,2023-09-11,1,1,in_app
intv_0000011,user_0000023,acct_00003,2024-01-22,1,1,both
intv_0000012,user_0000029,acct_00003,2024-01-01,1,1,email
intv_0000013,user_0000034,acct_00003,2024-01-03,1,0,in_app
intv_0000014,user_0000035,acct_00003,2024-01-16,1,0,in_app
intv_0000015,user_0000039,acct_00005,2023-04-04,1,0,in_app
intv_0000016,user_0000041,acct_00005,2023-03-28,1,0,in_app
intv_0000017,user_0000042,acct_00005,2023-04-08,1,0,email
intv_0000018,user_0000046,acct_00005,2023-03-28,1,0,email
intv_0000019,user_0000047,acct_00005,2023-04-03,1,0,email
intv_0000020,user_0000048,acct_00005,2023-04-13,1,0,both
intv_0000021,user_0000050,acct_00005,2023-04-14,1,0,email
intv_0000022,user_0000053,acct_00005,2023-03-25,1,0,email
intv_0000023,user_0000054,acct_00005,2023-04-11,1,0,email
intv_0000024,user_0000060,acct_00005,2023-03-31,1,1,email
intv_0000025,user_0000061,acct_00005,2023-04-06,1,1,both
intv_0000026,user_0000063,acct_00006,2023-04-10,1,0,email
intv_0000027,user_0000068,acct_00006,2023-04-20,1,0,in_app
intv_0000028,user_0000069,acct_00006,2023-04-18,1,0,both
intv_0000029,user_0000073,acct_00007,2023-12-06,1,0,email
intv_0000030,user_0000075,acct_00007,2023-11-30,1,0,in_app
intv_0000031,user_0000077,acct_00008,2023-10-11,1,1,email
intv_0000032,user_0000082,acct_00008,2023-09-30,1,0,in_app
intv_0000033,user_0000086,acct_00009,2023-06-24,1,0,both
intv_0000034,user_0000087,acct_00009,2023-06-29,1,0,both
intv_0000035,user_0000093,acct_00010,2023-07-27,1,1,in_app
intv_0000036,user_0000097,acct_00010,2023-07-27,1,1,both
intv_0000037,user_0000098,acct_00010,2023-07-31,1,0,email
intv_0000038,user_0000099,acct_00010,2023-07-17,1,0,email
intv_0000039,user_0000100,acct_00010,2023-07-31,1,0,in_app
intv_0000040,user_0000102,acct_00010,2023-07-29,1,0,in_app
intv_0000041,user_0000104,acct_00010,2023-08-02,1,0,in_app
intv_0000042,user_0000107,acct_00010,2023-07-23,1,0,in_app
intv_0000043,user_0000108,acct_00010,2023-08-06,1,1,email
intv_0000044,user_0000109,acct_00010,2023-07-19,1,0,both
intv_0000045,user_0000113,acct_00011,2024-02-25,1,0,both
intv_0000046,user_0000118,acct_00011,2024-02-29,1,1,in_app
intv_0000047,user_0000119,acct_00011,2024-02-15,1,0,in_app
intv_0000048,user_0000122,acct_00012,2024-03-01,1,0,both
intv_0000049,user_0000130,acct_00012,2024-02-15,1,0,in_app
intv_0000050,user_0000131,acct_00012,2024-02-06,1,0,both
intv_0000051,user_0000133,acct_00012,2024-02-23,1,0,email
intv_0000052,user_0000134,acct_00012,2024-03-04,1,0,email
intv_0000053,user_0000135,acct_00012,2024-03-05,1,0,in_app
intv_0000054,user_0000137,acct_00012,2024-02-07,1,1,in_app
intv_0000055,user_0000142,acct_00012,2024-02-19,1,0,in_app
intv_0000056,user_0000143,acct_00012,2024-03-02,1,0,in_app
intv_0000057,user_0000146,acct_00012,2024-03-06,1,0,email
intv_0000058,user_0000147,acct_00012,2024-02-25,1,0,in_app
intv_0000059,user_0000149,acct_00012,2024-02-08,1,0,email
intv_0000060,user_0000151,acct_00012,2024-03-02,1,1,both
intv_0000061,user_0000155,acct_00013,2024-05-29,1,0,in_app
intv_0000062,user_0000156,acct_00013,2024-05-23,1,0,email
intv_0000063,user_0000157,acct_00013,2024-06-10,1,0,both
intv_0000064,user_0000160,acct_00013,2024-06-16,1,0,in_app
intv_0000065,user_0000166,acct_00013,2024-05-31,1,0,in_app
intv_0000066,user_0000167,acct_00013,2024-06-19,1,0,email
intv_0000067,user_0000168,acct_00013,2024-06-02,1,0,email
intv_0000068,user_0000171,acct_00014,2024-06-09,1,0,email
intv_0000069,user_0000173,acct_00015,2023-12-02,1,0,in_app
intv_0000070,user_0000177,acct_00015,2023-12-20,1,0,in_app
intv_0000071,user_0000179,acct_00016,2023-05-15,1,0,in_app
intv_0000072,user_0000180,acct_00016,2023-05-17,1,1,in_app
intv_0000073,user_0000185,acct_00016,2023-04-26,1,0,email
intv_0000074,user_0000188,acct_00016,2023-05-01,1,1,email
intv_0000075,user_0000189,acct_00016,2023-05-09,1,1,email
intv_0000076,user_0000197,acct_00017,2023-05-07,1,0,in_app
intv_0000077,user_0000198,acct_00017,2023-05-02,1,1,in_app
intv_0000078,user_0000199,acct_00017,2023-05-10,1,0,email
intv_0000079,user_0000200,acct_00017,2023-05-21,1,1,email
intv_0000080,user_0000204,acct_00017,2023-04-30,1,0,both
intv_0000081,user_0000208,acct_00017,2023-05-07,1,1,in_app
intv_0000082,user_0000210,acct_00018,2023-09-26,1,1,email
intv_0000083,user_0000211,acct_00018,2023-10-12,1,0,email
intv_0000084,user_0000213,acct_00018,2023-10-04,1,0,both
intv_0000085,user_0000215,acct_00018,2023-09-26,1,0,both
intv_0000086,user_0000216,acct_00018,2023-09-24,1,1,both
intv_0000087,user_0000218,acct_00018,2023-09-17,1,0,both
intv_0000088,user_0000222,acct_00018,2023-09-16,1,0,email
intv_0000089,user_0000223,acct_00019,2023-02-24,1,1,in_app
intv_0000090,user_0000224,acct_00019,2023-03-01,1,0,email
intv_0000091,user_0000225,acct_00019,2023-02-19,1,0,in_app
intv_0000092,user_0000229,acct_00020,2024-02-10,1,0,in_app
intv_0000093,user_0000230,acct_00020,2024-02-15,1,0,email
intv_0000094,user_0000232,acct_00021,2023-07-21,1,0,email
intv_0000095,user_0000235,acct_00021,2023-08-06,1,0,email
intv_0000096,user_0000236,acct_00021,2023-08-08,1,0,in_app
intv_0000097,user_0000238,acct_00021,2023-07-26,1,0,email
intv_0000098,user_0000242,acct_00021,2023-07-27,1,0,both
intv_0000099,user_0000243,acct_00021,2023-07-15,1,0,email
intv_0000100,user_0000244,acct_00021,2023-07-18,1,0,email
intv_0000101,user_0000245,acct_00021,2023-07-14,1,0,email
intv_0000102,user_0000247,acct_00022,2024-07-03,1,0,both
intv_0000103,user_0000249,acct_00022,2024-07-23,1,1,in_app
intv_0000104,user_0000251,acct_00022,2024-06-30,1,0,in_app
intv_0000105,user_0000252,acct_00022,2024-07-29,1,0,in_app
intv_0000106,user_0000254,acct_00022,2024-07-05,1,0,in_app
intv_0000107,user_0000256,acct_00022,2024-07-02,1,0,in_app
intv_0000108,user_0000259,acct_00023,2024-01-22,1,0,email
intv_0000109,user_0000260,acct_00023,2024-01-30,1,0,in_app
intv_0000110,user_0000261,acct_00023,2024-02-01,1,0,in_app
intv_0000111,user_0000262,acct_00023,2024-01-18,1,0,in_app
intv_0000112,user_0000270,acct_00023,2024-02-04,1,0,both
intv_0000113,user_0000272,acct_00024,2024-05-12,1,1,email
intv_0000114,user_0000273,acct_00024,2024-05-07,1,0,in_app
intv_0000115,user_0000274,acct_00024,2024-05-21,1,1,in_app
intv_0000116,user_0000279,acct_00024,2024-05-15,1,0,in_app
intv_0000117,user_0000289,acct_00024,2024-06-01,1,0,email
intv_0000118,user_0000292,acct_00024,2024-05-19,1,1,email
intv_0000119,user_0000297,acct_00025,2024-02-23,1,0,both
intv_0000120,user_0000298,acct_00025,2024-02-12,1,0,email
intv_0000121,user_0000299,acct_00026,2023-05-31,1,0,both
intv_0000122,user_0000304,acct_00026,2023-05-18,1,1,in_app
intv_0000123,user_0000309,acct_00027,2023-08-07,1,0,both
intv_0000124,user_0000312,acct_00028,2023-11-27,1,1,email
intv_0000125,user_0000313,acct_00028,2023-12-10,1,0,in_app
intv_0000126,user_0000321,acct_00028,2023-12-14,1,0,in_app
intv_0000127,user_0000322,acct_00028,2023-12-03,1,1,email
intv_0000128,user_0000324,acct_00028,2023-12-06,1,1,in_app
intv_0000129,user_0000325,acct_00028,2023-12-11,1,0,email
intv_0000130,user_0000326,acct_00028,2023-12-25,1,0,email
intv_0000131,user_0000327,acct_00028,2023-11-29,1,0,in_app
intv_0000132,user_0000329,acct_00028,2023-12-19,1,0,in_app
intv_0000133,user_0000334,acct_00028,2023-12-07,1,0,both
intv_0000134,user_0000338,acct_00030,2024-01-07,1,0,in_app
intv_0000135,user_0000341,acct_00030,2023-12-15,1,0,in_app
intv_0000136,user_0000342,acct_00030,2024-01-05,1,1,in_app
intv_0000137,user_0000343,acct_00030,2024-01-10,1,1,both
intv_0000138,user_0000344,acct_00030,2023-12-31,1,0,email
intv_0000139,user_0000345,acct_00031,2024-06-30,1,0,in_app
intv_0000140,user_0000346,acct_00031,2024-06-11,1,0,in_app
intv_0000141,user_0000349,acct_00031,2024-06-22,1,1,in_app
intv_0000142,user_0000360,acct_00032,2023-06-05,1,0,in_app
intv_0000143,user_0000361,acct_00032,2023-06-12,1,1,email
intv_0000144,user_0000363,acct_00032,2023-06-25,1,0,in_app
intv_0000145,user_0000364,acct_00033,2024-04-04,1,0,email
intv_0000146,user_0000365,acct_00033,2024-04-17,1,0,email
intv_0000147,user_0000374,acct_00035,2024-05-20,1,0,in_app
intv_0000148,user_0000377,acct_00035,2024-04-28,1,0,both
intv_0000149,user_0000378,acct_00035,2024-05-14,1,0,in_app
intv_0000150,user_0000379,acct_00036,2024-06-05,1,1,in_app
intv_0000151,user_0000385,acct_00036,2024-06-12,1,0,both
intv_0000152,user_0000390,acct_00036,2024-06-07,1,0,in_app
intv_0000153,user_0000393,acct_00036,2024-06-08,1,0,in_app
intv_0000154,user_0000396,acct_00036,2024-06-03,1,0,in_app
intv_0000155,user_0000398,acct_00036,2024-06-05,1,0,in_app
intv_0000156,user_0000401,acct_00036,2024-05-29,1,0,both
intv_0000157,user_0000402,acct_00036,2024-05-31,1,1,in_app
intv_0000158,user_0000403,acct_00036,2024-06-03,1,0,in_app
intv_0000159,user_0000404,acct_00036,2024-05-27,1,1,both
intv_0000160,user_0000406,acct_00036,2024-05-24,1,0,in_app
intv_0000161,user_0000408,acct_00037,2023-09-24,1,0,both
intv_0000162,user_0000409,acct_00038,2023-07-18,1,0,in_app
intv_0000163,user_0000411,acct_00038,2023-07-08,1,0,in_app
intv_0000164,user_0000412,acct_00038,2023-07-05,1,0,in_app
intv_0000165,user_0000417,acct_00039,2024-02-13,1,0,in_app
intv_0000166,user_0000422,acct_00039,2024-01-17,1,0,in_app
intv_0000167,user_0000424,acct_00040,2023-07-15,1,0,in_app
intv_0000168,user_0000425,acct_00040,2023-06-30,1,1,email
intv_0000169,user_0000426,acct_00040,2023-07-03,1,1,in_app
intv_0000170,user_0000428,acct_00040,2023-06-25,1,0,in_app
intv_0000171,user_0000429,acct_00040,2023-07-10,1,0,in_app
intv_0000172,user_0000435,acct_00041,2024-01-22,1,0,email
intv_0000173,user_0000437,acct_00041,2024-02-02,1,0,in_app
intv_0000174,user_0000438,acct_00041,2024-01-13,1,1,in_app
intv_0000175,user_0000441,acct_00042,2023-08-16,1,0,both
intv_0000176,user_0000442,acct_00042,2023-08-02,1,0,in_app
intv_0000177,user_0000444,acct_00042,2023-08-21,1,0,in_app
intv_0000178,user_0000445,acct_00042,2023-08-24,1,0,in_app
intv_0000179,user_0000446,acct_00042,2023-08-13,1,0,in_app
intv_0000180,user_0000447,acct_00042,2023-08-16,1,0,email
intv_0000181,user_0000448,acct_00042,2023-08-23,1,1,in_app
intv_0000182,user_0000453,acct_00042,2023-07-31,1,0,in_app
intv_0000183,user_0000458,acct_00042,2023-08-14,1,1,in_app
intv_0000184,user_0000459,acct_00042,2023-08-05,1,1,both
intv_0000185,user_0000463,acct_00042,2023-08-13,1,1,in_app
intv_0000186,user_0000465,acct_00043,2023-07-31,1,1,email
intv_0000187,user_0000466,acct_00043,2023-08-02,1,0,in_app
intv_0000188,user_0000467,acct_00043,2023-08-11,1,1,email
intv_0000189,user_0000469,acct_00043,2023-07-27,1,1,email
intv_0000190,user_0000473,acct_00043,2023-08-15,1,0,in_app
intv_0000191,user_0000475,acct_00043,2023-08-16,1,1,in_app
intv_0000192,user_0000476,acct_00043,2023-08-05,1,0,in_app
intv_0000193,user_0000477,acct_00043,2023-07-29,1,0,in_app
intv_0000194,user_0000480,acct_00043,2023-08-22,1,0,in_app
intv_0000195,user_0000482,acct_00043,2023-08-04,1,1,in_app
intv_0000196,user_0000485,acct_00044,2023-03-19,1,1,in_app
intv_0000197,user_0000486,acct_00044,2023-04-04,1,0,in_app
intv_0000198,user_0000488,acct_00044,2023-03-21,1,1,email
intv_0000199,user_0000491,acct_00044,2023-04-10,1,1,in_app
intv_0000200,user_0000492,acct_00044,2023-03-23,1,0,in_app
intv_0000201,user_0000493,acct_00045,2023-03-03,1,0,email
intv_0000202,user_0000495,acct_00045,2023-02-15,1,0,email
intv_0000203,user_0000496,acct_00045,2023-02-21,1,0,both
intv_0000204,user_0000498,acct_00046,2023-04-29,1,0,both
intv_0000205,user_0000499,acct_00046,2023-04-09,1,0,email
