user_id,intervention_id,collab_activated_flag,activation_date,outcome_window_days
user_0000004,intv_0000000,0.0,,21
user_0000005,intv_0000001,0.0,,21
user_0000007,intv_0000002,1.0,2023-08-27,21
user_0000008,intv_0000003,0.0,,21
user_0000011,intv_0000004,0.0,,21
user_0000012,intv_0000005,1.0,2023-09-25,21
user_0000014,intv_0000006,0.0,,21
user_0000016,intv_0000007,1.0,2023-09-26,21
user_0000018,intv_0000008,,,21
user_0000020,intv_0000009,1.0,2023-09-28,21
user_0000021,intv_0000010,0.0,,21
user_0000023,intv_0000011,1.0,2024-01-23,21
user_0000029,intv_0000012,0.0,,21
user_0000034,intv_0000013,0.0,,21
user_0000035,intv_0000014,0.0,,21
user_0000039,intv_0000015,0.0,,21
user_0000041,intv_0000016,0.0,,21
user_0000042,intv_0000017,0.0,,21
user_0000046,intv_0000018,0.0,,21
user_0000047,intv_0000019,,,21
user_0000048,intv_0000020,0.0,,21
user_0000050,intv_0000021,0.0,,21
user_0000053,intv_0000022,0.0,,21
user_0000054,intv_0000023,0.0,,21
user_0000060,intv_0000024,0.0,,21
user_0000061,intv_0000025,1.0,2023-04-23,21
user_0000063,intv_0000026,1.0,2023-04-28,21
user_0000068,intv_0000027,0.0,,21
user_0000069,intv_0000028,0.0,,21
user_0000073,intv_0000029,0.0,,21
user_0000075,intv_0000030,0.0,,21
user_0000077,intv_0000031,0.0,,21
user_0000082,intv_0000032,0.0,,21
user_0000086,intv_0000033,,,21
user_0000087,intv_0000034,0.0,,21
user_0000093,intv_0000035,0.0,,21
user_0000097,intv_0000036,0.0,,21
user_0000098,intv_0000037,1.0,2023-08-10,21
user_0000099,intv_0000038,1.0,2023-07-20,21
user_0000100,intv_0000039,1.0,2023-08-06,21
user_0000102,intv_0000040,0.0,,21
user_0000104,intv_0000041,0.0,,21
user_0000107,intv_0000042,0.0,,21
user_0000108,intv_0000043,0.0,,21
user_0000109,intv_0000044,0.0,,21
user_0000113,intv_0000045,1.0,2024-03-01,21
user_0000118,intv_0000046,0.0,,21
user_0000119,intv_0000047,,,21
user_0000122,intv_0000048,1.0,2024-03-21,21
user_0000130,intv_0000049,0.0,,21
user_0000131,intv_0000050,,,21
user_0000133,intv_0000051,0.0,,21
user_0000134,intv_0000052,1.0,2024-03-07,21
user_0000135,intv_0000053,0.0,,21
user_0000137,intv_0000054,0.0,,21
user_0000142,intv_0000055,0.0,,21
user_0000143,intv_0000056,0.0,,21
user_0000146,intv_0000057,1.0,2024-03-22,21
user_0000147,intv_0000058,0.0,,21
user_0000149,intv_0000059,0.0,,21
user_0000151,intv_0000060,0.0,,21
user_0000155,intv_0000061,0.0,,21
user_0000156,intv_0000062,0.0,,21
user_0000157,intv_0000063,1.0,2024-06-30,21
user_0000160,intv_0000064,0.0,,21
user_0000166,intv_0000065,0.0,,21
user_0000167,intv_0000066,0.0,,21
user_0000168,intv_0000067,1.0,2024-06-12,21
user_0000171,intv_0000068,0.0,,21
user_0000173,intv_0000069,0.0,,21
user_0000177,intv_0000070,,,21
user_0000179,intv_0000071,0.0,,21
user_0000180,intv_0000072,0.0,,21
user_0000185,intv_0000073,0.0,,21
user_0000188,intv_0000074,1.0,2023-05-18,21
user_0000189,intv_0000075,1.0,2023-05-23,21
user_0000197,intv_0000076,0.0,,21
