user_id,account_id,user_created_date,role_type,geo_region,invited_by_user_id
user_0000001,acct_00000,2023-04-03,admin,LATAM,
user_0000002,acct_00000,2023-03-13,basic,NA,
user_0000003,acct_00000,2023-03-20,power_user,EU,
user_0000004,acct_00000,2023-03-24,basic,NA,
user_0000005,acct_00001,2023-07-13,basic,EU,unknown_user
user_0000006,acct_00001,2023-07-01,power_user,LATAM,
user_0000007,acct_00001,2023-07-05,basic,APAC,
user_0000008,acct_00001,2023-06-19,basic,EU,unknown_user
user_0000009,acct_00001,2023-06-20,power_user,LATAM,unknown_user
user_0000010,acct_00001,2023-07-10,power_user,APAC,unknown_user
user_0000011,acct_00001,2023-06-21,basic,EU,
user_0000012,acct_00002,2023-08-23,basic,APAC,
user_0000013,acct_00002,2023-08-20,power_user,EU,
user_0000014,acct_00002,2023-08-26,basic,LATAM,
user_0000015,acct_00002,2023-08-31,admin,LATAM,unknown_user
user_0000016,acct_00002,2023-08-20,basic,LATAM,
user_0000017,acct_00002,2023-08-09,admin,EU,
user_0000018,acct_00002,2023-08-31,basic,APAC,unknown_user
user_0000019,acct_00002,2023-08-28,basic,LATAM,
user_0000020,acct_00002,2023-08-15,basic,APAC,
user_0000021,acct_00002,2023-08-11,basic,APAC,
user_0000022,acct_00002,2023-08-18,basic,LATAM,
user_0000023,acct_00003,2023-12-25,basic,NA,unknown_user
user_0000024,acct_00003,2023-12-16,admin,APAC,unknown_user
user_0000025,acct_00003,2023-12-03,admin,NA,
user_0000026,acct_00003,2023-12-02,power_user,LATAM,
user_0000027,acct_00003,2023-12-23,power_user,APAC,unknown_user
user_0000028,acct_00003,2023-12-19,power_user,LATAM,unknown_user
user_0000029,acct_00003,2023-12-05,basic,LATAM,
user_0000030,acct_00003,2023-12-14,power_user,EU,
user_0000031,acct_00003,2023-12-14,power_user,LATAM,
user_0000032,acct_00003,2023-12-07,power_user,NA,
user_0000033,acct_00003,2023-12-25,admin,LATAM,unknown_user
user_0000034,acct_00003,2023-12-05,basic,NA,
user_0000035,acct_00003,2023-12-14,basic,LATAM,
user_0000036,acct_00003,2023-12-01,power_user,APAC,
user_0000037,acct_00004,2024-01-23,basic,LATAM,
user_0000038,acct_00004,2024-01-10,power_user,EU,unknown_user
user_0000039,acct_00005,2023-03-06,basic,NA,unknown_user
user_0000040,acct_00005,2023-03-11,power_user,EU,
user_0000041,acct_00005,2023-02-27,basic,APAC,
user_0000042,acct_00005,2023-03-13,basic,APAC,
user_0000043,acct_00005,2023-03-12,power_user,NA,
user_0000044,acct_00005,2023-03-06,admin,EU,
user_0000045,acct_00005,2023-03-07,power_user,EU,unknown_user
user_0000046,acct_00005,2023-02-23,basic,NA,
user_0000047,acct_00005,2023-03-02,basic,NA,
user_0000048,acct_00005,2023-03-16,basic,APAC,
user_0000049,acct_00005,2023-02-18,admin,NA,unknown_user
user_0000050,acct_00005,2023-03-15,basic,APAC,
user_0000051,acct_00005,2023-03-18,power_user,EU,
user_0000052,acct_00005,2023-03-10,power_user,EU,
user_0000053,acct_00005,2023-02-21,admin,NA,unknown_user
user_0000054,acct_00005,2023-03-12,basic,APAC,
user_0000055,acct_00005,2023-02-23,basic,EU,
user_0000056,acct_00005,2023-03-05,admin,LATAM,unknown_user
user_0000057,acct_00005,2023-03-04,power_user,EU,
user_0000058,acct_00005,2023-03-09,power_user,APAC,
user_0000059,acct_00005,2023-03-01,power_user,EU,
user_0000060,acct_00005,2023-03-01,basic,LATAM,unknown_user
user_0000061,acct_00005,2023-03-07,basic,NA,
user_0000062,acct_00005,2023-02-27,power_user,APAC,
user_0000063,acct_00006,2023-03-09,basic,APAC,unknown_user
user_0000064,acct_00006,2023-03-10,basic,EU,
user_0000065,acct_00006,2023-03-07,basic,NA,
